source,title,description,content,url,publishedAt
Juancole.com,"Blinken and Austin Scold Netanyahu over Gaza Atrocities, playing Cynical Presidential Politics",Ann Arbor (Informed Comment) - Barak Ravid at Axios got the scoop. He was leaked a letter from Secretary of State Antony Blinken and Secretary of Defense Lloyd Austin to Israeli PM Benjamin Netanyahu and Defense Minister Yoav Gallant accusing them of reneging…,Ann Arbor (Informed Comment) – Barak Ravid at Axios got the scoop. He was leaked a letter from Secretary of State Antony Blinken and Secretary of Defense Lloyd Austin to Israeli PM Benjamin Netanyahu… [+13277 chars],https://www.juancole.com/2024/10/netanyahu-atrocities-presidential.html,
Breitbart News,"Netanyahu Blasts Macron over 'United Nations' Insult, Lebanon Policy",Israeli Prime Minister Benjamin Netanyahu blasted French President Emmanuel Macron on Tuesday after the European leader insulted Israel by suggesting that it would not have existed except for the United Nations. The post Netanyahu Blasts Macron over ‘United N…,Israeli Prime Minister Benjamin Netanyahu blasted French President Emmanuel Macron on Tuesday after the European leader insulted Israel by suggesting that it would not have existed except for the Uni… [+3865 chars],https://www.breitbart.com/middle-east/2024/10/15/netanyahu-blasts-macron-united-nations-attempts-to-intervene-in-lebanon/,
CBS News,"No injuries after drone strike launched at Netanyahu home, Israel says","Israel's government says a drone was launched toward the prime minister's house, with no casualties.","A drone was launched toward Prime Minister Benjamin Netanyahu's home on Saturday, the Israeli government said.   Sirens wailed Saturday morning, warning of incoming fire from Lebanon. The drone was l… [+5740 chars]",https://www.cbsnews.com/news/drone-strike-benjamin-netanyahu-israel-gaza-lebanon-hamas/,
Yahoo Entertainment,Netanyahu opposes ceasefire deal that would not halt Hezbollah from rearming,Israeli Prime Minister Benjamin Netanyahu said on Tuesday he told French President Emmanuel Macron that he would not agree to a ceasefire deal that failed to...,By Steven Scheer  JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu said on Tuesday he told French President Emmanuel Macron that he would not agree to a ceasefire deal that failed to s… [+1664 chars],https://www.yahoo.com/news/netanyahu-opposes-ceasefire-deal-not-185032579.html,
Yahoo Entertainment,"Netanyahu denies targeting UNIFIL, calls for withdrawal, UNIFIL says we're staying",Israeli Prime Minister Benjamin Netanyahu on Monday rejected accusations that Israeli troops had deliberately targeted UNIFIL peacekeepers in Lebanon as...,"JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu on Monday rejected accusations that Israeli troops had deliberately targeted UNIFIL peacekeepers in Lebanon as ""completely false"" and r… [+799 chars]",https://www.yahoo.com/news/netanyahu-denies-targeting-unifil-calls-212608310.html,
Sputnikglobe.com,"Israel to Continue Strikes Across Lebanon, Including Beirut - Netanyahu","TEL AVIV (Sputnik) - Israel will continue to mercilessly strike Lebanese Shia movement Hezbollah across Lebanon, including Beirut, Israeli Prime Minister Benjamin Netanyahu said on Monday.","WHAT IS UNIFIL, THE UN PEACEKEEPING MISSION ATTACKED BY THE ISRAELI TROOPS?  As tensions across the Israel-Lebanon border escalate, the Israeli Defence Forces (IDF) have fired at several UNIFIL posit… [+143 chars]",https://sputnikglobe.com/20241014/israel-to-continue-strikes-across-lebanon-including-beirut---netanyahu-1120548978.html,
Yahoo Entertainment,"'Squad' member calls Netanyahu a 'genocidal maniac,' sparking backlash from Israeli ambassador to the UN",,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f92a758f-a011-41e4-9172-20bb4d3b6fd3,
DW (English),"Middle East: Israel strikes Beirut, after Netanyahu rejects cease-fire","Israel said it targeted a Hezbollah weapons depot in Beirut, after rejecting any 'unilateral' ceasefire plan. Meanwhile, the regional conflict is expected to top the agenda at first EU-Gulf summit. DW has more.","An Israeli strike hit southern Beirut on Wednesday, media sources reported. Israel's army said its jets had hit a Hezbollah underground strategic weapons storage depot.  It was the first strike on th… [+952 chars]",https://www.dw.com/en/middle-east-israel-strikes-beirut-after-netanyahu-rejects-cease-fire/live-70508934,
DW (English),Middle East: Netanyahu says Hezbollah tried to kill him,"Israeli Prime Minister Benjamin Netanyahu said Hezbollah would pay a ""heavy price"" for launching a drone targeting his house. Meanwhile, Hamas officials said dozens were killed in strikes in Gaza. DW has the latest.",The US is investigating a leak of highly classified documents with information about Israel's preparations for a potential strike on Iran.  US news outlets Axios and CNN first reported the news about… [+1025 chars],https://www.dw.com/en/middle-east-netanyahu-says-hezbollah-tried-to-kill-him/live-70543202,
International Business Times,Macron Riles Netanyahu With Jab On Israel's Creation,"French President Emmanuel Macron has further strained tense relations with Israel with a comment referring o the creation of the Israeli state, a verbal jab that was rapidly denounced by Prime Minister Benjamin Netanyahu as distorting history.","French President Emmanuel Macron has further strained tense relations with Israel with a comment referring o the creation of the Israeli state, a verbal jab that was rapidly denounced by Prime Minist… [+3963 chars]",https://www.ibtimes.com/macron-riles-netanyahu-jab-israels-creation-3746906,
International Business Times,Israel Strikes Lebanon After Netanyahu Vows No Mercy For Hezbollah,"Israel's military launched strikes Tuesday on eastern Lebanon, official Lebanese media reported, as Hezbollah fought Israeli soldiers after Prime Minister Benjamin Netanyahu vowed no mercy for the militant group.","Israel's military launched strikes Tuesday on eastern Lebanon, official Lebanese media reported, as Hezbollah fought Israeli soldiers after Prime Minister Benjamin Netanyahu vowed no mercy for the mi… [+5919 chars]",https://www.ibtimes.com/israel-strikes-lebanon-after-netanyahu-vows-no-mercy-hezbollah-3746697,
Politicalwire.com,Netanyahu Calls Drone Attack Assassination Attempt,"""Israeli Prime Minister Benjamin Netanyahu described the Hezbollah drone attack on his home as an assassination attempt,"" Bloomberg reports.Said Netanyahu: ""The attempt by Iran’s proxy Hezbollah to assassinate me and my wife today was a grave mistake.""","“There are a lot of blogs and news sites claiming to understand politics, but only a few actually do. Political Wire is one of them.”   Chuck Todd, host of “Meet the Press”  “Concise. Relevant. To th… [+594 chars]",https://politicalwire.com/2024/10/19/netanyahu-calls-drone-attack-assassination-attempt/,
Breitbart News,"Communist Nicaragua Cuts Ties with Israel, Calls Netanyahu 'Son of the Devil'","Communist dictator Daniel Ortega of Nicaragua condemned Israeli Prime Minister Benjamin Netanuayu on Monday evening, calling him ""Hitler"" and accusing him of being the ""son of the devil"" days after he had the country break diplomatic ties with Israel. The pos…","Communist dictator Daniel Ortega of Nicaragua condemned Israeli Prime Minister Benjamin Netanuayu on Monday evening, calling him “Hitler” and accusing him of being the “son of the devil” days after h… [+4152 chars]",https://www.breitbart.com/latin-america/2024/10/15/communist-nicaragua-cuts-ties-with-israel-calls-netanyahu-son-of-the-devil/,
Breitbart News,"Netanyahu on Killing of Hamas Leader Yahya Sinwar: 'Darkness Is in Retreat, Light Is Rising'","Israeli Prime Minister Benjamin Netanyahu addressed his nation on Thursday evening in the wake of confirmation that Israel Defense Forces (IDF) troops had killed Hamas leader Yahya Sinwar, saying a chance had arrived for peace. The post Netanyahu on Killing o…","Israeli Prime Minister Benjamin Netanyahu addressed his nation on Thursday evening in the wake of confirmation that Israel Defense Forces (IDF) troops had killed Hamas leader Yahya Sinwar, saying a c… [+3863 chars]",https://www.breitbart.com/middle-east/2024/10/17/netanyahu-on-killing-of-hamas-leader-yahya-sinwar-darkness-is-in-retreat-light-is-rising/,
Breitbart News,Netanyahu to Hamas: Free the Hostages and We Will Let You Live,"Israeli Prime Minister Benjamin Netanyahu said Thursday evening that Hamas terrorists who freed Israeli hostages would be allowed to live, but that those who sought to harm them would be hunted down and killed. He added that the war in Gaza would end if the h…","Israeli Prime Minister Benjamin Netanyahu said Thursday evening that Hamas terrorists who freed Israeli hostages would be allowed to live, but that those who sought to harm them would be hunted down … [+2594 chars]",https://www.breitbart.com/middle-east/2024/10/17/netanyahu-to-hamas-free-the-hostages-and-we-will-let-you-live/,
Raw Story,"In clash with Netanyahu, Macron says Israel PM 'mustn't forget his country created by UN","Israeli Prime Minister Benjamin Netanyahu should not forget his country was created as a result of a resolution adopted by the United Nations, French President Emmanuel Macron told cabinet on Tuesday, urging Israel to abide by UN decisions.Tensions have incre…","Israeli Prime Minister Benjamin Netanyahu should not forget his country was created as a result of a resolution adopted by the United Nations, French President Emmanuel Macron told cabinet on Tuesday… [+1410 chars]",https://www.rawstory.com/election-officials-in-u-s-state-of-georgia-must-certify-results-judge/,
Naturalnews.com,"Netanyahu will strike military sites within Iran before U.S. elections, source tells WaPo","Two unnamed officials close to Israeli Prime Minister Benjamin Netanyahu just disclosed to the Biden administration that Israel is planning to launch its attack on Iran before the U.S. presidential elections on Nov. 5, the Washington Post (WaPo) reported. Acc…",Two unnamed officials close to Israeli Prime Minister Benjamin Netanyahu just disclosed to the Biden administration that Israel is planning to launch its attack on Iran before the U.S. presidential e… [+4918 chars],https://www.naturalnews.com/2024-10-17-netanyahu-will-strike-iran-before-us-elections.html,
DW (English),"Middle East: Israel strikes Beirut, after Netanyahu rejects ceasefire","Israel said it targeted a Hezbollah weapons depot in Beirut, after rejecting any 'unilateral' ceasefire plan. Meanwhile, the regional conflict is expected to top the agenda at first EU-Gulf summit. DW has more.","An Israeli strike hit southern Beirut on Wednesday, media sources reported. Israel's army said its jets had hit a Hezbollah underground strategic weapons storage depot.  It was the first strike on th… [+952 chars]",https://www.dw.com/en/middle-east-israel-strikes-beirut-after-netanyahu-rejects-ceasefire/live-70508934,
CounterPunch,The Fascism of Benjamin Netanyahu,"Why has Bibi Netanyahu become the darling and idol of racist, neo-fascist and neo-Nazi right-wing scum in Europe and around the world? The answer is not difficult: these scum recognize themselves in him because they consider, quite rightly, that Bibi Netanyah…","Why has Bibi Netanyahu become the darling and idol of racist, neo-fascist and neo-Nazi right-wing scum in Europe and around the world? The answer is not difficult: these scum recognize themselves in … [+8775 chars]",https://www.counterpunch.org/2024/10/14/the-fascism-of-benjamin-netanyahu/,
CNA,Drone launched toward Netanyahu residence in central Israel: PM office,"JERUSALEM: Israeli Prime Minister Benjamin Netanyahu's office said a drone was launched toward his residence in Caesarea on Saturday (Oct 19), after the military reported a drone from Lebanon had ""hit a structure"" in the central Israeli town. ""A UAV (unmanned…","Lebanese authorities meanwhile said two people were killed in an Israeli strike on Saturday in Jounieh, north of Beirut, in the first strike on the area since Hezbollah and Israel started trading fir… [+693 chars]",https://www.channelnewsasia.com/world/israel-lebanon-hezbollah-drone-netanyahu-residence-4689281,
International Business Times,Sinwar's Killing Boosts Netanyahu But Still No Sign Of War Ending,The killing of Hamas leader Yahya Sinwar is a political victory for Israeli Prime Minister Benjamin Netanyahu but divisions remain in Israel over his strategy for securing the release of hostages.,The killing of Hamas leader Yahya Sinwar is a political victory for Israeli Prime Minister Benjamin Netanyahu but divisions remain in Israel over his strategy for securing the release of hostages.  M… [+4592 chars],https://www.ibtimes.com/sinwars-killing-boosts-netanyahu-still-no-sign-war-ending-3747264,
International Business Times,"Hostages Families Not Impressed With Hamas Leader's Assassination, Demand Netanyahu Order 'Immediate Agreement'","Amidst reports of the death of Yahya Sinwar, the head of Hamas, the families of the Israeli hostages push the government to negotiate their safe return.",The families of 101 still believed to be held hostage in Gaza expressed concern about retribution against their loved ones after the Israel Defense Forces (IDF) is believed to have killed Yahya Sinwa… [+2887 chars],https://www.ibtimes.com/israeli-hostage-families-hamas-assassination-netanyahu-3747095,
Breitbart News,"Dem Rep.: Netanyahu Should Give Ground in Talks with Hamas, a Deal Will Reshape Israeli Retaliation on Iran","On Friday’s “CNN Newsroom,” Rep. Raja Krishnamoorthi (D-IL) said that it’s time for Israeli Prime Minister Benjamin Netanyahu to be willing to give ground in talks with Hamas and that if a deal in Gaza is struck, “it will also The post Dem Rep.: Netanyahu Sho…","On Friday’s “CNN Newsroom,” Rep. Raja Krishnamoorthi (D-IL) said that it’s time for Israeli Prime Minister Benjamin Netanyahu to be willing to give ground in talks with Hamas and that if a deal in Ga… [+1422 chars]",https://www.breitbart.com/clips/2024/10/19/dem-rep-netanyahu-should-give-ground-in-talks-with-hamas-a-deal-will-reshape-israeli-retaliation-on-iran/,
Globalsecurity.org,Statement by Prime Minister Benjamin Netanyahu,"""One year ago, Yahya Sinwar, the terrorist chief of Hamas, launched the October 7th massacre against Israel. (...) Today, the mastermind of this day of sheer evil is no more. Yahya Sinwar is dead.""","Israel - Prime Minister's Office  Events and SpeechesThe 37th Government18.10.2024  Prime Minister Benjamin Netanyahu, this evening:  ""One year ago, Yahya Sinwar, the terrorist chief of Hamas, launch… [+1951 chars]",https://www.globalsecurity.org/military/library/news/2024/10/mil-241018-israel-pm01.htm,
NBC News,Sinwar's death offers an opening to end the war in Gaza – and a test for Netanyahu,"The killing of Yahya Sinwar is a tactical and symbolic success for Israel, but it's unclear if it will change the course of the conflict in Gaza.",The killing of Hamas leader Yahya Sinwar is a major symbolic and military victory for Israel a year after the hard-line ideologue masterminded a devastating terrorist attack that shattered the countr… [+7728 chars],https://www.nbcnews.com/investigations/sinwars-death-offers-opening-end-war-gaza-test-netanyahu-rcna175914,
Yahoo Entertainment,Report: Netanyahu orders more aid deliveries to Gaza,"Israeli Prime Minister Benjamin Netanyahu ordered a significant increase in deliveries for the suffering population in the Gaza Strip, Israeli media reported...","Israeli Prime Minister Benjamin Netanyahu ordered a significant increase in deliveries for the suffering population in the Gaza Strip, Israeli media reported on Friday.  Israeli public broadcaster Ka… [+973 chars]",https://www.yahoo.com/news/report-netanyahu-orders-more-aid-220344999.html,
Hurriyet Daily News,Israel strikes Lebanon after Netanyahu vows no mercy for Hezbollah,"Israel's military launched strikes Tuesday on eastern Lebanon, official Lebanese media reported, as Hezbollah fought Israeli soldiers after Prime Minister Benjamin Netanyahu vowed no mercy for the militant group.","BEIRUT  Israel's military launched strikes Tuesday on eastern Lebanon, official Lebanese media reported, as Hezbollah fought Israeli soldiers after Prime Minister Benjamin Netanyahu vowed no mercy fo… [+5997 chars]",https://www.hurriyetdailynews.com/israel-strikes-lebanon-after-netanyahu-vows-no-mercy-for-hezbollah-201556,
Hurriyet Daily News,Drone launched toward Netanyahu residence in central Israel,"Israeli Prime Minister Benjamin Netanyahu's office said a drone was launched toward his residence in Caesarea on Saturday, after the military reported a drone from Lebanon had ""hit a structure"" in the central Israeli town.","JERUSALEM  Israeli Prime Minister Benjamin Netanyahu's office said a drone was launched toward his residence in Caesarea on Saturday, after the military reported a drone from Lebanon had ""hit a struc… [+2407 chars]",https://www.hurriyetdailynews.com/drone-launched-toward-netanyahu-residence-in-central-israel-201714,
Mediaite,Netanyahu Declares Nothing Will ‘Deter’ Him After Private Residence Targeted By Drone,"Benjamin Netanyahu declared nothing will deter his fight against the ""terrorist proxies"" of Iran following a UAV being ""launched towards"" his home. The post Netanyahu Declares Nothing Will ‘Deter’ Him After Private Residence Targeted By Drone first appeared o…",Screenshot via Twitter  Israel Prime Minister Benjamin Netanyahu released a video to social media in which he declared nothing will deter his fight against the “terrorist proxies” of Iran following h… [+1789 chars],https://www.mediaite.com/news/netanyahu-declares-nothing-will-deter-him-after-private-residence-targeted-by-drone/,
Memeorandum.com,Biden tells Netanyahu it's time to end Gaza war after Sinwar's elimination (Barak Ravid/Axios),Barak Ravid / Axios: Biden tells Netanyahu it's time to end Gaza war after Sinwar's elimination … - Israeli and U.S. officials say Sinwar's death on Wednesday creates an opportunity to resume talks on a deal to release the 101 hostages still held by Hamas and…,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.  Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",https://www.memeorandum.com/241017/p99,
Fortune,Benjamin Netanyahu says drone that targeted his house was an assassination attempt,Netanyahu’s office said the drone targeted his house in the Mediterranean coastal town of Caesarea. Neither he nor his wife was there. It wasn't clear if the house was hit.,"Israels government said a drone targeted Prime Minister Benjamin Netanyahus house Saturday, with no casualties, as fighting with Lebanon-based Hezbollah and Gaza -based Hamas showed no pause after th… [+6047 chars]",https://fortune.com/2024/10/19/benjamin-netanyahu-home-drone-assassination-attempt-israel-hezbollah-iran/,
Fortune,Benjamin Netanyahu hails ‘the start of the day after Hamas’ after leader Yahya Sinwar is killed,"Israeli forces in Gaza killed Hamas leader Yahya Sinwar, a chief architect of last year’s attack on Israel that sparked the war, the military said.","Israeli forces in Gaza killed Hamas leader Yahya Sinwar, a chief architect of last years attack on Israel that sparked the war, the military said Thursday. Troops appeared to have run across him unkn… [+6764 chars]",https://fortune.com/2024/10/18/hamas-leader-yahya-sinwar-killed/,
Yahoo Entertainment,Netanyahu says al-Sinwar's death paves way for a better future,"Israeli Prime Minister Benjamin Netanyahu has hailed the death of Hamas leader Yehya al-Sinwar as a significant milestone, describing it as a sign of ""the...","Israeli Prime Minister Benjamin Netanyahu has hailed the death of Hamas leader Yehya al-Sinwar as a significant milestone, describing it as a sign of ""the decline of the reign of evil by Hamas"" in th… [+1781 chars]",https://www.yahoo.com/news/netanyahu-says-al-sinwars-death-190323216.html,
Legalinsurrection.com,"Failed Assassination Attempt on Netanyahu, Personal Residence Reportedly Hit by Hezbollah Drone","Netanyahu: ""We’re continuing our battle with Iran’s other terrorist proxies – we’re going to win this war."" The post Failed Assassination Attempt on Netanyahu, Personal Residence Reportedly Hit by Hezbollah Drone first appeared on Le·gal In·sur·rec·tion.",An Iranian-backed attempt to assassinate Prime Minister Benjamin Netanyahu failed after a Hezbollah drone reportedly hit his private home in central Israel early morning Saturday.  “An explosive dron… [+4746 chars],https://legalinsurrection.com/2024/10/failed-assassination-attempt-on-netanyahu-personal-residence-reportedly-hit-by-hezbollah-drone/,
Memeorandum.com,"Netanyahu tells U.S. that Israel will strike Iranian military, not nuclear or oil, targets, officials say (Washington Post)","Washington Post: Netanyahu tells U.S. that Israel will strike Iranian military, not nuclear or oil, targets, officials say  —  The signal is being seen in Washington as a sign of restraint after concerns that an Israeli strike on oil or nuclear facilities cou…","memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.  Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",https://www.memeorandum.com/241014/p72,
Wnd.com,Report: Netanyahu tells Biden Iran’s nuclear and energy sites not on target list,"Meanwhile, Israel is facing a potential shortage of interceptor missiles as it bolsters air defenses against possible attacks from Iran and its proxies","Israel Prime Minister Benjamin Netanyahu welcomes Joe Biden at Ben-Gurion Airport, Oct. 18, 2023. (Photo by Avi Ohayon/Israel GPO)  Israel/Middle East Morning Brief  U.S. President Joe Biden was said… [+3176 chars]",https://www.wnd.com/2024/10/report-netanyahu-tells-biden-irans-nuclear-and-energy-sites-not-on-target-list/,
Independent.ie,At least 21 killed in Israeli airstrike on Lebanon as Benjamin Netanyahu vows ‘no mercy’,"Israel expanded its targets in its war with Hezbollah militants in Lebanon yesterday, killing at least 21 people in an airstrike in the north, health officials said, while millions of Israelis took shelter from projectiles fired back across the border.","EU foreign policy chief condemns IDFs attacks on Unifil soldiers as unacceptable  Israel expanded its targets in its war with Hezbollah militants in Lebanon yesterday, killing at least 21 people in a… [+280 chars]",https://www.independent.ie/world-news/middle-east/at-least-21-killed-in-israeli-airstrike-on-lebanon-as-benjamin-netanyahu-vows-no-mercy/a375902208.html,
TheJournal.ie,Israel strikes eastern Lebanon after PM Benjamin Netanyahu vows 'no mercy' for Hezbollah,"Israel launched multiple air strikes early today in the eastern Bekaa Valley, putting a hospital in out of service.","ISRAELS MILITARY HAS launched strikes on eastern Lebanon, official Lebanese media reported, as Hezbollah fought Israeli soldiers after Prime Minister Benjamin Netanyahu vowed no mercy for the militan… [+5876 chars]",https://www.thejournal.ie/israel-strikes-eastern-lebanon-benjamin-netanyahu-vows-no-mercy-for-hezbollah-6515470-Oct2024/,
TheJournal.ie,"Opinion: Netanyahu and Musk are different types of narcissists, both foolish and bad for the world",Former Irish Ambassador Bobby McDonagh has some thoughts on two powerful men who he believes pose a danger to global stability.,"ELON MUSK AND Benjamin Netanyahu have one striking thing in common: they are nothing like as bright as they think they are. Although they operate in quite separate worlds, they share a wildly exagger… [+6339 chars]",https://www.thejournal.ie/readme/musk-and-netanyahu-6517628-Oct2024/,
