category,source,title,description,content,url,publishedAt
,Raw Story,Netanyahu replaces fired Israeli Defense Minister with 'another genocidal lunatic',"Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and replaced him with Israel Katz, who was serving as foreign mini…","Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and re… [+3960 chars]",https://www.rawstory.com/netanyahu-replaces-fired-israeli-defense-minister-with-another-genocidal-lunatic/,
,NBC News,Netanyahu fires Gallant as Israel's defense minister,"Israeli Prime Minister Benjamin Netanyahu fired his defense minister Tuesday, a long rumored move that was announced on election day in the United States.","Israeli Prime Minister Benjamin Netanyahu fired his defense minister Tuesday, a long rumored move that was announced on election day in the United States. The two have repeatedly clashed over the con… [+3361 chars]",https://www.nbcnews.com/news/world/israel-prime-minister-netanyahu-ousts-gallant-defense-minister-rcna171250,
,International Business Times,Israel's Netanyahu Fires Defence Minister Over Breakdown In 'Trust',"Israel's Prime Minister Benjamin Netanyahu fired defence minister Yoav Gallant Tuesday following public differences over the ongoing war in Gaza, replacing him with former top diplomat Israel Katz.","Israel's Prime Minister Benjamin Netanyahu fired defence minister Yoav Gallant Tuesday following public differences over the ongoing war in Gaza, replacing him with former top diplomat Israel Katz.  … [+3768 chars]",https://www.ibtimes.com/israels-netanyahu-fires-defence-minister-over-breakdown-trust-3749628,
,VOA News,Israel's Netanyahu dismisses his defense minister,"Israeli Prime Minister Benjamin Netanyahu has fired Defense Minister Yoav Gallant.   Netanyahu said in a statement Tuesday the trust between the two men had evaporated over the course of Israel’s war on Gaza.   “Over the past few months that trust has eroded,…",Israeli Prime Minister Benjamin Netanyahu has fired Defense Minister Yoav Gallant.  Netanyahu said in a statement Tuesday the trust between the two men had evaporated over the course of Israels war o… [+659 chars],https://www.voanews.com/a/israels-netanyahu-dismisses-his-defense-minister/7852644.html,
,Newsweek,Netanyahu Fires Israel's Defense Minister,The prime minister of Israel announced on Tuesday that Yoav Gallant would no longer serve as the country' defense minister.,"Israeli Prime Minister Benjamin Netanyahu on Tuesday fired his defense minister, Yoav Gallant, saying ""trust has cracked"" between them.  ""In the midst of a war, more than ever, full trust is required… [+949 chars]",https://www.newsweek.com/yoav-gallant-fired-israel-netanyahu-1980689,
,Naturalnews.com,Former Israeli PM Ehud Olmert says Netanyahu is the real enemy â not Iran or Hezbollah,"Former Israeli Prime Minister Ehud Olmert recently appeared in an interview, where he criticized current Israeli Prime Minister Benjamin Netanyahu and called him the real enemy in the burgeoning multifaceted war Israel is waging against Middle Eastern nations…","Former Israeli Prime Minister Ehud Olmert recently appeared in an interview, where he criticized current Israeli Prime Minister Benjamin Netanyahu and called him the real enemy in the burgeoning mult… [+4986 chars]",https://www.naturalnews.com/2024-11-06-olmert-netanyahu-real-enemy-not-iran-hezbollah.html,
,VOA News,Netanyahu sparks uproar by firing popular defense minister,"Jerusalem — Israeli Prime Minister Benjamin Netanyahu fired Defense Minister Yoav Gallant on Tuesday, sparking protests around Israel. Some say the move could endanger the country’s security, as Israel continues to fight in both Gaza and Lebanon.      After P…","Jerusalem  Israeli Prime Minister Benjamin Netanyahu fired Defense Minister Yoav Gallant on Tuesday, sparking protests around Israel. Some say the move could endanger the countrys security, as Israel… [+2205 chars]",https://www.voanews.com/a/netanyahu-sparks-uproar-by-firing-popular-defense-minister/7854043.html,
,International Business Times,Israeli PM Netanyahu Fires Defense Minister in Shocking Election Day Shake Up,Prime Minister Benjamin Netanyahu sent shockwaves through the Israeli political world on Tuesday when he announced the unexpected firing of Defense Minister Yoav Gallant.,"Prime Minister Benjamin Netanyahu sent shockwaves through the Israeli political world on Tuesday when he announced the unexpected firing of Defense Minister Yoav Gallant.  Gallant, who has served in … [+613 chars]",https://www.ibtimes.com/israeli-pm-netanyahu-fires-defense-minister-shocking-election-day-shake-3749625,
,Mediaite,Netanyahu Fires Defense Minister Ahead of Expected Iranian Attack,"Israeli Prime Minister Benjamin Netanyahu fired Defense Minister Yoav Gallant on Tuesday ahead of an expected attack from Iran. Axios reporter Barak Ravid broke the news and reported on Gallant’s replacement, ” Netanyahu appoints foreign minister Israel Katz …",Abir Sultan/Pool Photo via AP  Israeli Prime Minister Benjamin Netanyahu fired Defense Minister Yoav Gallant on Tuesday ahead of an expected attack from Iran. Axios reporter Barak Ravid broke the new… [+1910 chars],https://www.mediaite.com/news/just-in-netanyahu-fires-defense-minister-ahead-of-expected-iranian-attack/,
,Boston Herald,Israel’s Netanyahu dismisses defense minister in surprise announcement,Netanyahu and Gallant have repeatedly been at odds throughout the war in Gaza.,"By JOSEF FEDERMAN  JERUSALEM (AP) — Israeli Prime Minister Benjamin Netanyahu on Tuesday dismissed his popular defense minister, Yoav Gallant, in a surprise announcement that came as the country is e… [+4770 chars]",https://www.bostonherald.com/2024/11/05/israel-netanyahu-dismisses-defense-minister/,
,Truthout,"Netanyahu Fires Yoav Gallant, Defense Minister Who Often Opposed His Approach","Gallant is a staunch supporter of Israel’s genocide, but has butted heads with Netanyahu at points.","On Tuesday, Israeli Prime Minister Benjamin Netanyahu fired Defense Minister Yoav Gallant, who has sometimes challenged Netanyahu politically, and replaced him with a minister more loyal to Netanyahu… [+4360 chars]",https://truthout.org/articles/netanyahu-fires-yoav-gallant-defense-minister-who-often-opposed-his-approach/,
,NPR,Benjamin Netanyahu has dismissed Defense Minister Yoav Gallant,"Israeli Prime Minister Benjamin Netanyahu has dismissed his popular defense minister, Yoav Gallant, in a surprise announcement.","JERUSALEM Israeli Prime Minister Benjamin Netanyahu on Tuesday dismissed his popular defense minister, Yoav Gallant, in a surprise announcement that came as the country is embroiled in wars on multip… [+2343 chars]",https://www.npr.org/2024/11/05/nx-s1-5179904/israel-defense-minister-gallant-fired-netanyahu,
,Wnd.com,WATCH: Netanyahu fires Israel Defense Minister Gallant,"JERUSALEM – In a surprise move, Israel's Prime Minister Benjamin Netanyahu fired Defense Minister Yoav Gallant on Tuesday evening, and will replace him with current Foreign Minister Israel Katz.","Yoav Gallant  JERUSALEM In a surprise move, Israel’s Prime Minister Benjamin Netanyahu fired Defense Minister Yoav Gallant on Tuesday evening, and will replace him with current Foreign Minister Israe… [+1811 chars]",https://www.wnd.com/2024/11/watch-netanyahu-fires-israel-defense-minister-gallant/,
,Yahoo Entertainment,"Israel's Netanyahu fires defence minister, says trust 'broken'",,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3ed69232-54e4-4882-9255-958d5dcf92d6,
,Yahoo Entertainment,Fired Gallant reveals points of contention with Israel's Netanyahu,"Israeli Defence Minister Yoav Gallant on Tuesday warned of a ""moral darkness"" in the country after his dismissal by Prime Minister Benjamin Netanyahu...","Israeli Defence Minister Yoav Gallant on Tuesday warned of a ""moral darkness"" in the country after his dismissal by Prime Minister Benjamin Netanyahu.  Gallant named three points of contention with N… [+468 chars]",https://www.yahoo.com/news/fired-gallant-reveals-points-contention-222722206.html,
,Wnd.com,‘History’s greatest comeback’: Israel’s Netanyahu and Herzog congratulate Trump,"Israel's Prime Minister Benjamin Netanyahu extended his and his wife, Sara's, congratulations to President Donald Trump and his wife, Melania, on what looks like a successful reelection bid in Tuesday's presidential race.","JERUSALEM Israel’s Prime Minister Benjamin Netanyahu extended his and his wife, Sara’s, congratulations to President Donald Trump and his wife, Melania, on what looks like a successful reelection bid… [+2011 chars]",https://www.wnd.com/2024/11/historys-greatest-comeback-israels-netanyahu-and-herzog-congratulate-trump/,
,Longwarjournal.org,Israeli Prime Minister Netanyahu removes Defense Minister Gallant,"Israeli Prime Minister Benjamin Netanyahu removed Israeli Defense Minister Yoav Gallant from office on November 5 after months of tension between the two men. The move comes as the Israel Defense Forces (IDF) continues to operate in Lebanon against Hezbollah,…","An IDF Humvee drives through areas of northern Gaza damaged in fighting over the last year. (Seth J. Frantzman, LWJ photo)  Israeli Prime Minister Benjamin Netanyahu removed Israeli Defense Minister … [+5374 chars]",https://www.longwarjournal.org/archives/2024/11/israeli-prime-minister-netanyahu-removes-defense-minister-gallant.php,
,Common Dreams,Netanyahu Replaces Fired Israeli Defense Minister With 'Another Genocidal Lunatic',"Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and replaced him with Israel Katz, who was serving as foreign mini…","Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and re… [+3970 chars]",https://www.commondreams.org/news/israel-katz,
,Mediaite,Bernie Sanders Torches Dems for ‘Abandoning Working Class People’ and ‘Funding Extremist Netanyahu’ in Brutal Statement On Trump Win,U.S. Sen. Bernie Sanders (D-VT) released a scathing statement blaming the Democrats for losing to Donald Trump for a second time. The post Bernie Sanders Torches Dems for ‘Abandoning Working Class People’ and ‘Funding Extremist Netanyahu’ in Brutal Statement …,AP Photo/Manuel Balce Ceneta  Sen. Bernie Sanders (I-VT) released a scathing statement blaming the Democrats for losing to Donald Trump for a second time.  Trump on Wednesday was declared the winner … [+3329 chars],https://www.mediaite.com/election-2024/bernie-sanders-torches-dems-for-abandoning-working-class-people-and-funding-extremist-netanyahu-in-brutal-statement-after-trump-election-win/,
,Memeorandum.com,Israel's Netanyahu dismisses his defense minister as wars rage. Protests erupt across country (Josef Federman/Associated Press),"Josef Federman / Associated Press: Israel's Netanyahu dismisses his defense minister as wars rage.  Protests erupt across country  —  Israeli Prime Minister Benjamin Netanyahu on Tuesday dismissed his popular defense minister, Yoav Gallant, in a surprise anno…","memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.  Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",https://www.memeorandum.com/241105/p95,
,New York Post,Israel’s Netanyahu dismisses defense minister in surprise announcement,"Israeli Prime Minister Benjamin Netanyahu has dismissed his popular defense minister, Yoav Gallant, in a surprise announcement.","Israeli Prime Minister Benjamin Netanyahu has dismissed his popular defense minister, Yoav Gallant, in a surprise announcement.  Netanyahu and Gallant have repeatedly been at odds throughout the war … [+571 chars]",https://nypost.com/2024/11/05/world-news/israels-netanyahu-dismisses-defense-minister-yoav-gallant-in-surprise-announcement/,
,Common Dreams,"From Netanyahu to Orbán, Global Far-Right Figures Celebrate Trump Win","Current and former far-right leaders around the world cheered U.S. President-elect Donald Trump's remarkable victory in Tuesday's election, in which the twice-impeached, 34-count convicted felon, self- and court-affirmed sexual assaulter, and insurrection-fom…","Current and former far-right leaders around the world cheered U.S. President-elect Donald Trump's remarkable victory in Tuesday's election, in which the twice-impeached, 34-count convicted felon, sel… [+3146 chars]",https://www.commondreams.org/news/trump-global-fascism,
,Mediaite,NBC’s Richard Engle Says Netanyahu Is Having His ‘Best Day’ In a ‘Year’ With Trump Win: ‘Regime Change In Iran’ On the Table,"""He believes that Donald Trump is going to, you know, help take him there. It's a vision of the Middle East in which Iran is significantly diminished. Maybe regime change in Iran” The post NBC’s Richard Engle Says Netanyahu Is Having His ‘Best Day’ In a ‘Year…",NBCs chief foreign affairs correspondent Richard Engle joined MSNBC on Wednesday to discuss what President-elect Donald Trumps foreign policy might look like in a second term.  Embracing Vladimir Put… [+4130 chars],https://www.mediaite.com/tv/nbcs-richard-engle-says-netanyahu-is-having-his-best-day-in-a-year-with-trump-win-regime-change-in-iran-on-the-table/,
,Biztoc.com,Netanyahu Fires Israel's Defense Minister,"Israeli Prime Minister Benjamin Netanyahu on Tuesday fired his defense minister Yoav Gallant, saying ""trust has cracked"" between them. ""In the midst of a war, more than ever, full trust is required between the prime minister and the defense minister,"" a state…","Israeli Prime Minister Benjamin Netanyahu on Tuesday fired his defense minister Yoav Gallant, saying ""trust has cracked"" between them.""In the midst of a war, more than ever, full trust is required be… [+145 chars]",https://biztoc.com/x/add3e316bc271b9a,
,New York Post,Netanyahu leads world leaders in congratulating Trump on election victory: ‘History’s greatest comeback!’,"“Your historic return to the White House offers a new beginning for America and a powerful recommitment to the great alliance between Israel and America,” Netanyahu told Trump.","Israeli Prime Minister Benjamin Netanyahu led world leaders in congratulating former Donald Trump on his presidential election victory Wednesday, calling it “a new beginning for America and a powerfu… [+2807 chars]",https://nypost.com/2024/11/06/us-news/netanyahu-congratulates-trump-on-historys-greatest-comeback/,
,Biztoc.com,Netanyahu congratulates Trump on US presidential win,"Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" after...","Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" afte… [+69 chars]",https://biztoc.com/x/ff62efbeff3a6329,
,HuffPost,Netanyahu Dismisses Defense Minister In Surprise Announcement,"Israeli Prime Minister Benjamin Netanyahu has dismissed his popular defense minister, Yoav Gallant, in a surprise announcement.","Israeli Prime Minister Benjamin Netanyahu (C) speaks to Defence Minister Yoav Gallant (L) at the opening of the 25th Parliament session in Jerusalem on October 28, 2024. (Photo by DEBBIE HILL / POOL … [+3784 chars]",https://www.huffpost.com/entry/bc-ml-israel-politics-netanyahu-yoav-gallant_n_672a6140e4b05debb72c5a82,
,Biztoc.com,"Netanyahu, Trump discuss Iran, agree to cooperate","Israeli Prime Minister Benjamin Netanyahu and United States President-elect Donald Trump discussed the Iranian ""threat"" and agreed to work together for ""Israel's security,"" Netanyahu's office said on ...","Israeli Prime Minister Benjamin Netanyahu and United States President-elect Donald Trump discussed the Iranian ""threat"" and agreed to work together for ""Israel's security,"" Netanyahu's office said on… [+69 chars]",https://biztoc.com/x/6e7fa42e27dd88c3,
,Biztoc.com,Netanyahu congratulates Trump on US presidential victory,"Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" after...","Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" afte… [+69 chars]",https://biztoc.com/x/b80836c5e144d0b5,
,Biztoc.com,Netanyahu slams probe into Gaza activities,The Magistrate's Court in Rishon LeZion allowed on Tuesday a confirmation of a criminal investigation into Israeli Prime Minister Benjamin Netanyahu's crisis cabinet's actions at the beginning of the ...,The Magistrate's Court in Rishon LeZion allowed on Tuesday a confirmation of a criminal investigation into Israeli Prime Minister Benjamin Netanyahu's crisis cabinet's actions at the beginning of the… [+69 chars],https://biztoc.com/x/5256b6543cc93c0c,
,Biztoc.com,Netanyahu fires Israel defence minister Gallant,Prime minister said ‘significant gaps’ had emerged over the management of the war,"Prime minister said significant gaps had emerged over the management of the war  This story appeared on ft.com, 2024-11-05 18:14:09.",https://biztoc.com/x/db4df0d15d1dcf40,
,Biztoc.com,Israeli politics: Binyamin Netanyahu fires his defence minister,"Binyamin Netanyahu fires his defence minister The Israeli prime minister stamps his authority on his government Over the past year the two men leading Israel’s war effort could barely hide their contempt for each other. So when Binyamin Netanyahu, Israel’s pr…",Binyamin Netanyahu fires his defence ministerThe Israeli prime minister stamps his authority on his governmentOver the past year the two men leading Israels war effort could barely hide their contemp… [+141 chars],https://biztoc.com/x/e349116c8a5d7c5b,
,Biztoc.com,News Wrap: Netanyahu fires Israeli Defense Minister Yoav Gallant,"In our news wrap Tuesday, Israeli Prime Minister Netanyahu fired his defense minister Yoav Gallant amid a growing rift, Ukrainian troops have engaged with North Korean soldiers for the first time since they were deployed to fight for Russia and Boeing workers…","In our news wrap Tuesday, Israeli Prime Minister Netanyahu fired his defense minister Yoav Gallant amid a growing rift, Ukrainian troops have engaged with North Korean soldiers for the first time sin… [+138 chars]",https://biztoc.com/x/909f5f99359019e4,
,Biztoc.com,Netanyahu Replaces Fired Israeli Defense Minister With ‘Another Genocidal Lunatic’,"Israel's new defense minister, Israel Katz, is even more bloody-minded than the one Netanyahu sacked.","Israel's new defense minister, Israel Katz, is even more bloody-minded than the one Netanyahu sacked.  This story appeared on nakedcapitalism.com, 2024-11-06 14:55:40.",https://biztoc.com/x/a303377ec5bc0bbb,
,POLITICO.eu,"Israel’s Netanyahu fires defense minister, saying mutual trust has ‘cracked’",Yoav Gallant will be replaced in Cabinet by Foreign Minister Israel Katz.,"Israeli Prime Minster Benjamin Netanyahu fired the countrys Defense Minister Yoav Gallant on Tuesday evening, citing a crisis of trust between the two men.  To my sorrow, although in the first months… [+337 chars]",https://www.politico.eu/article/israels-netanyahu-fires-defense-minister-saying-mutual-trust-has-cracked/,
,Biztoc.com,"In One Day, Two of the Biggest Brakes on Israel's Netanyahu Disappeared","The Israeli prime minister is expecting a freer hand from Washington as it pursues conflicts in Gaza, Lebanon and with Iran.","The Israeli prime minister is expecting a freer hand from Washington as it pursues conflicts in Gaza, Lebanon and with Iran.  This story appeared on wsj.com, 2024-11-06 12:06:00.",https://biztoc.com/x/3e3e04e5c7fbe772,
,EURACTIV,"Netanyahu sacks defence minister, jolting Israeli politics as war grinds on","After Yoav Gallant was fired, protesters in Israel blocked highways and lit bonfires on roads, police said.","File photo. Israel's Prime Minister Benjamin Netanyahu (L) and Defense Minister Yoav Gallant (R) address a press conference at Kirya military base in Tel Aviv, Israel, 28 October 2023. [EPA-EFE/ABIR … [+13 chars]",https://www.euractiv.com/section/global-europe/news/netanyahu-sacks-defence-minister-jolting-israeli-politics-as-war-grinds-on/,
,Biztoc.com,"Netanyahu sacks defence minister, jolting Israeli politics as war grinds on","After Yoav Gallant was fired, protesters in Israel blocked highways and lit bonfires on roads, police said.","After Yoav Gallant was fired, protesters in Israel blocked highways and lit bonfires on roads, police said.  This story appeared on euractiv.com, 2024-11-06 04:34:12.",https://biztoc.com/x/b6240b890a8c9efe,
,Investing.com,Israeli PM Netanyahu fires defence minister Gallant citing lack of trust,Israeli PM Netanyahu fires defence minister Gallant citing lack of trust,"JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu sacked his defence minister, Yoav Gallant, on Tuesday, saying he had no trust in him over the management of Israel's ongoing military o… [+191 chars]",https://www.investing.com/news/world-news/israeli-pm-netanyahu-fires-defence-minister-gallant-citing-lack-of-trust-3703253,
,Biztoc.com,"Ukraine's Zelenskyy, Benjamin Netanyahu And Other Key World Leaders Congratulate Donald Trump On Election Victory","Global leaders have begun extending their congratulations to Donald Trump following his anticipated victory in the U.S. presidential election. This comes after a closely-watched contest where Trump emerged victorious over Democrat rival Kamala Harris, as decl…",Global leaders have begun extending their congratulations to Donald Trump following his anticipated victory in the U.S. presidential election. This comes after a closely-watched contest where Trump e… [+140 chars],https://biztoc.com/x/8504acdaa10a2835,
,Freerepublic.com,Netanyahu fires Israeli Defense Minister Yoav Gallant,"Israeli Prime Minister Benjamin Netanyahu has fired Defense Minister Yoav Gallant, the prime minister’s office said Tuesday. Israel Katz, currently the foreign minister, will become defense minister and Gideon Sa’ar will replace Katz as foreign minister.","Skip to comments.  Netanyahu fires Israeli Defense Minister Yoav GallantCNN ^   | 1:09 PM EST, Tue November 5, 2024    | Tamar Michaelis  Posted on 11/05/2024 10:45:34 AM PST by JSM_Liberty  Israeli … [+3437 chars]",https://freerepublic.com/focus/f-news/4275948/posts,
,Breitbart News,Netanyahu Congratulates Trump: 'History's Greatest Comeback!',"Israeli Prime Minister Benjamin Netanyahu congratulated President-elect Donald Trump on his resounding victory in the 2024 election early Wednesday morning, calling it ""history's greatest comeback."" The post Netanyahu Congratulates Trump: ‘History’s Greatest …","Israeli Prime Minister Benjamin Netanyahu congratulated President-elect Donald Trump on his resounding victory in the 2024 election early Wednesday morning, calling it “history’s greatest comeback.” … [+1920 chars]",https://www.breitbart.com/middle-east/2024/11/06/netanyahu-congratulates-trump-historys-greatest-comeback/,
,Raw Story,Netanyahu replaces fired Israeli Defense Minister with 'another genocidal lunatic',"Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and replaced him with Israel Katz, who was serving as foreign mini…","Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and re… [+3960 chars]",https://www.rawstory.com/netanyahu-replaces-fired-israeli-defense-minister-with-another-genocidal-lunatic/,
,Naturalnews.com,Former Israeli PM Ehud Olmert says Netanyahu is the real enemy â not Iran or Hezbollah,"Former Israeli Prime Minister Ehud Olmert recently appeared in an interview, where he criticized current Israeli Prime Minister Benjamin Netanyahu and called him the real enemy in the burgeoning multifaceted war Israel is waging against Middle Eastern nations…","Former Israeli Prime Minister Ehud Olmert recently appeared in an interview, where he criticized current Israeli Prime Minister Benjamin Netanyahu and called him the real enemy in the burgeoning mult… [+4986 chars]",https://www.naturalnews.com/2024-11-06-olmert-netanyahu-real-enemy-not-iran-hezbollah.html,
,New York Post,Netanyahu leads world leaders in congratulating Trump on election victory: ‘History’s greatest comeback!’,"“Your historic return to the White House offers a new beginning for America and a powerful recommitment to the great alliance between Israel and America,” Netanyahu told Trump.","Israeli Prime Minister Benjamin Netanyahu led world leaders in congratulating former Donald Trump on his presidential election victory Wednesday, calling it “a new beginning for America and a powerfu… [+2807 chars]",https://nypost.com/2024/11/06/us-news/netanyahu-congratulates-trump-on-historys-greatest-comeback/,
,Biztoc.com,Netanyahu congratulates Trump on US presidential win,"Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" after...","Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" afte… [+69 chars]",https://biztoc.com/x/ff62efbeff3a6329,
,Biztoc.com,Netanyahu congratulates Trump on US presidential victory,"Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" after...","Israeli Prime Minister Benjamin Netanyahu extended his congratulations to Republican presidential candidate Donald Trump and his wife Melania Trump, praising their ""greatest comeback in history"" afte… [+69 chars]",https://biztoc.com/x/b80836c5e144d0b5,
,Biztoc.com,News Wrap: Netanyahu fires Israeli Defense Minister Yoav Gallant,"In our news wrap Tuesday, Israeli Prime Minister Netanyahu fired his defense minister Yoav Gallant amid a growing rift, Ukrainian troops have engaged with North Korean soldiers for the first time since they were deployed to fight for Russia and Boeing workers…","In our news wrap Tuesday, Israeli Prime Minister Netanyahu fired his defense minister Yoav Gallant amid a growing rift, Ukrainian troops have engaged with North Korean soldiers for the first time sin… [+138 chars]",https://biztoc.com/x/909f5f99359019e4,
